loc,lat,long,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
כפר הנשיא,32.9747,35.6023,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,6.0,2.0,0.0,0.0
כיסרא סמיע,32.9723,35.3041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
אשרת,32.9716,35.1557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,11.0,13.0,0.0,0.0
כסרא סמיע,32.9714,35.3116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,6.0,0.0,0.0
בית העמק,32.971,35.1453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,13.0,13.0,0.0,0.0
אזור תעשייה צ.ח.ר,32.9705521,35.5646455,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,7.0,17.0,3.0,0.0,0.0
ראש פינה,32.9704,35.5427,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,21.0,26.0,10.0,0.0,0.0
גיתה,32.9672,35.2491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,3.0,0.0,0.0
טובא זנגריה,32.9662,35.592,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,10.0,3.0,0.0,0.0
בית ג'אן,32.9657,35.3813,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,7.0,0.0,0.0,0.0
נס עמים,32.9655,35.1216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,16.0,20.0,0.0,0.0
צפת,32.964648,35.495997,1.0,3.0,0.0,2.0,3.0,0.0,2.0,0.0,14.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
צפת - עיר,32.964648,35.495997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,42.0,21.0,0.0,0.0
לוחמי הגטאות,32.9627,35.0967,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,6.0,5.0,24.0,25.0,0.0,0.0
לפידות,32.9598,35.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,6.0,0.0,0.0
אבו סנאן,32.958,35.172,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,14.0,15.0,0.0,0.0
חרשים,32.9577,35.3282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0
אניעם,32.9566,35.7397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0
כפר שמאי,32.9557,35.4579,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,15.0,3.0,0.0,0.0
ירכא,32.9535,35.212,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,22.0,14.0,0.0,0.0
