time,loc,locOrig
16-May-2021 20:58:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
16-May-2021 20:54:00,"שדה ניצן","שדה ניצן"
16-May-2021 20:54:00,"תלמי אליהו","תלמי אליהו"
16-May-2021 20:53:00,"צוחר ואוהד","צוחר ואוהד"
16-May-2021 20:53:00,"מבטחים","מבטחים עמיעוז ישע"
16-May-2021 19:54:00,"ניר עוז","ניר עוז"
16-May-2021 19:54:00,"נירים","נירים"
16-May-2021 19:54:00,"עין השלושה","עין השלושה"
16-May-2021 19:54:00,"כיסופים","כיסופים"
16-May-2021 19:08:00,"כפר עזה","כפר עזה"
16-May-2021 19:07:00,"ניר עם","מטווח ניר עם"
16-May-2021 19:03:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
16-May-2021 19:03:00,"זיקים","זיקים"
16-May-2021 19:03:00,"נתיב העשרה","נתיב העשרה"
16-May-2021 19:03:00,"יד מרדכי","יד מרדכי"
16-May-2021 19:03:00,"אשקלון","אשקלון"
16-May-2021 19:03:00,"מבקיעים","מבקיעים"
16-May-2021 19:03:00,"כרמייה","כרמיה"
16-May-2021 19:02:00,"אשקלון","אזור תעשייה צפוני אשקלון"
16-May-2021 19:02:00,"באר גנים","באר גנים"
16-May-2021 19:02:00,"נתיב העשרה","נתיב העשרה"
16-May-2021 19:02:00,"כרם שלום","כרם שלום"
16-May-2021 19:02:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
16-May-2021 19:02:00,"זיקים","זיקים"
16-May-2021 19:02:00,"כרמייה","כרמיה"
16-May-2021 19:02:00,"מבקיעים","מבקיעים"
16-May-2021 19:02:00,"אשקלון","אשקלון"
16-May-2021 19:02:00,"כפר סילבר","כפר סילבר"
16-May-2021 19:02:00,"יד מרדכי","יד מרדכי"
16-May-2021 18:59:00,"סעד","סעד"
16-May-2021 18:59:00,"כפר עזה","כפר עזה"
16-May-2021 18:59:00,"נחל עוז","נחל עוז"
16-May-2021 18:58:00,"תקומה","תקומה וחוות יזרעם"
16-May-2021 18:58:00,"תקומה","תקומה"
16-May-2021 18:58:00,"בטחה","בטחה"
16-May-2021 18:58:00,"כפר מימון ותושיה","כפר מימון ותושיה"
16-May-2021 18:58:00,"עלומים","עלומים"
16-May-2021 18:58:00,"כפר עזה","כפר עזה"
16-May-2021 18:58:00,"זמרת ושובה","זמרת ושובה"
16-May-2021 18:58:00,"נחל עוז","נחל עוז"
16-May-2021 18:58:00,"נתיבות","נתיבות"
16-May-2021 18:58:00,"מעגלים","מעגלים גבעולים מלילות"
16-May-2021 18:58:00,"סעד","סעד"
16-May-2021 18:52:00,"כרם שלום","כרם שלום"
16-May-2021 18:49:00,"ניר עוז","ניר עוז"
16-May-2021 18:49:00,"מגן","מגן"
16-May-2021 18:49:00,"עין הבשור","עין הבשור"
16-May-2021 18:49:00,"אורים","אורים"
16-May-2021 18:42:00,"ארז","ארז"
16-May-2021 18:27:00,"כיסופים","כיסופים"
16-May-2021 18:18:00,"בית עזרא","בית עזרא"
16-May-2021 18:18:00,"ניצן","ניצן"
16-May-2021 18:18:00,"עזר","עזר"
16-May-2021 18:18:00,"אמונים","אמונים"
16-May-2021 18:18:00,"שדה עוזיהו","שדה עוזיהו"
16-May-2021 18:18:00,"עזריקם","עזריקם"
16-May-2021 18:18:00,"גבעתי","גבעתי"
16-May-2021 18:18:00,"אשדוד","אזור תעשייה עד הלום"
16-May-2021 18:17:00,"אשדוד","אשדוד - ח,ט,י,יג,יד,טז"
16-May-2021 18:17:00,"אשדוד","אשדוד - ג,ו,ז"
16-May-2021 18:17:00,"שתולים","שתולים"
